"","WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
"1",45,0.0222222222222222,0.155555555555556,0.177777777777778,0.0444444444444444,0,0.0444444444444444,-0.0666666666666667,0.111111111111111,0.0444444444444444,0.0222222222222222,0.0888888888888889,0.0888888888888889,0.177777777777778
"2",110,0.145454545454545,0.0818181818181818,0.227272727272727,-0.00909090909090909,0.0181818181818182,0.00909090909090909,0,0.0363636363636364,0.0363636363636364,0.0454545454545455,0.163636363636364,0.0363636363636364,0.2
"3",57,0.210526315789474,0.087719298245614,0.298245614035088,0.0350877192982456,0,0.0350877192982456,-0.087719298245614,0.12280701754386,0.0350877192982456,0.0350877192982456,0.105263157894737,0.140350877192982,0.245614035087719
"4",11,0.363636363636364,0,0.363636363636364,0,0,0,0,0,0,0,0.454545454545455,0,0.454545454545455
"5",52,0,0.0961538461538462,0.0961538461538462,0.0192307692307692,0,0.0192307692307692,0,0.0192307692307692,0.0192307692307692,0,-0.0192307692307692,0.0769230769230769,0.0576923076923077
"6",19,0.210526315789474,0,0.210526315789474,0,0,0,0,0,0,0,0.105263157894737,0,0.105263157894737
"7",60,0.116666666666667,0.15,0.266666666666667,0,0.0166666666666667,0.0166666666666667,-0.0333333333333333,0.05,0.0166666666666667,0,0.05,0.0833333333333333,0.133333333333333
"8",70,0.128571428571429,0.0571428571428571,0.185714285714286,0.0285714285714286,0,0.0285714285714286,0,0.0285714285714286,0.0285714285714286,0.0142857142857143,0.128571428571429,0,0.128571428571429
"9",24,0.125,0.125,0.25,0.0416666666666667,0.0833333333333333,0.125,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0.25
"10",82,0.158536585365854,0.0609756097560976,0.219512195121951,0,0,0,-0.0121951219512195,0.0121951219512195,0,0,0.109756097560976,0.0365853658536585,0.146341463414634
